FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.36239058879922315,0.0,-1.2601696622728156,0.0,-0.5674548027376085,0.8827867314312451,0.20783459593480258,0.17922832016634105,0.6442621195583472,0.61738768321095,0.9409406916605925,0.5828833491765285,0.023444175855742877
0.0,-1.1094453705574905,0.0,-2.4486488247150913,0.0,-0.892061496891607,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7064740052358989,0.0,-2.4446320631517233,0.0,-1.2876835400765305,0.0,-0.4094674937149696,0.0,-1.1181040324799216,0.0,-0.7912888084554845,0.81270825157194,0.1945202132772863,0.8750488678794087,0.46689237291024166,0.5242298135170727,0.18571934832194736,0.006079721449146147,0.8890100248688632
0.0,-1.1089610589205927,0.0,-2.4443394742744204,0.0,-0.4197453867782146,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7136512376021731,0.0,-2.4929592169704327,0.0,-1.056455870040903,0.0,-0.46744991779776335,0.0,-1.1440058743284114,0.0,-0.8125249707767241,0.12979254065963886,0.8652106364958205,0.9112747075385509,0.9614720481172258,0.004550452928314019,0.07969385358202641,0.5411718552976655,0.5866551366073534
0.0,-1.096491538179789,0.0,-2.338790178966437,0.0,-0.030472046637485484,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7280941412820887,0.0,-2.5547778132891876,0.0,-0.7787071551112064,0.0,-0.49659502628387475,0.0,-1.1985182317267,0.0,-0.7949400239295454,0.9826516932966459,0.9307163335129737,0.23818852380370525,0.8633039468878941,0.08005466554391705,0.03609665002151918,0.8071801597649917,0.8145106916743556
0.0,-1.0740730676342096,0.0,-2.150122620658646,0.0,0.3726041243341216,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7322863745694184,0.0,-2.5697588934795865,0.0,-0.5290739193548211,0.0,-0.5195815198436167,0.0,-1.2536607208889077,0.0,-0.8494523813278341,0.1945138982256257,0.7350571508502876,0.5567360640615856,0.1002249891693402,0.39042505375935443,0.8313443041464886,0.05401588568599658,0.764292022440267
0.0,-0.9209503412003945,0.0,-2.0751077059627434,0.0,0.8184640576868802,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.7148259886177017,0.0,-2.5081128498850904,0.0,-0.3046722278537768,0.0,-0.5379933229361642,0.0,-1.3166843572113436,0.0,-0.9045948704900417,0.6385487353084641,0.17314139641947468,0.4549861480690809,0.3383735947364076,0.4095577928652706,0.4281119101799886,0.7507200481543914,0.015878678256398326
0.0,-0.7879159687675852,0.0,-2.0327615639363454,0.0,0.7174190972281838,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.6800187970886347,0.0,-2.3682708217855426,0.0,-0.0661694937410715,0.0,-0.5518278729884925,0.0,-1.3868676303072887,0.0,-0.9676185068124776,0.7336292550556202,0.6380104534767522,0.08570430950693109,0.33039789857050395,0.6715007529830942,0.7121986502188422,0.6275125314645825,0.6290307003212812
0.0,-0.5922526409377404,0.0,-2.0113413529556627,0.0,0.7597652392545817,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.6405395175413675,0.0,-2.1442518464367994,0.0,0.2027613862023755,0.0,-0.5613609031664186,0.0,-1.4638889552210967,0.0,-1.0378017799084227,0.9681036467494322,0.06716442852908355,0.40624824148716254,0.935805731027051,0.22473861467698297,0.6700703247116226,0.7590520849875844,0.020986813416791206
0.0,-0.3490658503988655,0.0,-2.0217985292836014,0.0,0.7811854502352644,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.6184952970415427,0.0,-1.8495480980823134,0.0,0.8398441901800004,0.0,-0.5619802147862778,0.0,-1.660535004774622,0.0,-0.8987058419277814,0.03503455006845091,0.10692322156631262,0.3170610286958442,0.400198698906281,0.039879385114501176,0.9489697719758416,0.7954962553098646,0.8285252024129246
0.0,-0.3490658503988655,0.0,-1.9386783530215963,0.0,0.8538484501693318,0.0,-0.7229023487697139,0.0,-2.380404401869546,0.0,-1.3265676684325562,0.0,-0.6440612602749356,0.0,-1.4091111274522552,0.0,1.2526325962299865,0.0,-0.5549166365805149,0.0,-1.6747545272069102,0.0,-1.17378856614798,0.02909238676378323,0.794178039266199,0.9388785648737087,0.7404008932380344,0.004598427312680231,0.2768823308560253,0.5984127938229787,0.277783814797251
