FL A1 DF 1,FL A1 DF 2,FL A2 DF 1,FL A2 DF 2,FL A3 DF 1,FL A3 DF 2,FR A1 DF 1,FR A1 DF 2,FR A2 DF 1,FR A2 DF 2,FR A3 DF 1,FR A3 DF 2,BL A1 DF 1,BL A1 DF 2,BL A2 DF 1,BL A2 DF 2,BL A3 DF 1,BL A3 DF 2,BR A1 DF 1,BR A1 DF 2,BR A2 DF 1,BR A2 DF 2,BR A3 DF 1,BR A3 DF 2,SP A1 DF 1,SP A1 DF 2,SP A2 DF 1,SP A2 DF 2,T FL,T FR,T BL,T BR
0.0,-1.0437597839146981,0.0,-2.443441054435139,0.0,-1.0554970924454876,0.0,-0.9827623723937702,0.0,-2.237974431125238,0.0,-0.31007275910016485,0.0,-1.028592322293556,0.0,-2.4433231443240584,0.0,-1.062319506735105,0.0,-1.0437597839146981,0.0,-2.443441054435139,0.0,-1.0554970924454876,0.22659761559842728,0.17138659631187414,0.13626259667802498,0.26562275239895317,0.21124173859203754,0.8214335274524648,0.6908774366802999,0.7382828064014625
0.0,-1.0437597825107954,0.0,-2.4434409694257844,0.0,-1.055497250764616,0.0,-0.9688259540948838,0.0,-2.1732568753056682,0.0,-0.31865274022247814,0.0,-1.0285869495613875,0.0,-2.4432922169937874,0.0,-1.0623442578618567,0.0,-1.0437597825107954,0.0,-2.4434409694257844,0.0,-1.055497250764616,0.601667903563265,0.7180586872338185,0.666740883250175,0.5565084735317248,0.7078346833999898,0.9520082401629238,0.17773695123103617,0.5770381003667743
0.0,-1.043759782142125,0.0,-2.443440947101984,0.0,-1.055497292339882,0.0,-0.9550567983804337,0.0,-2.110188087974996,0.0,-0.33257923215150864,0.0,-1.0285843404363781,0.0,-2.4432771973993694,0.0,-1.06235627979156,0.0,-1.043759782142125,0.0,-2.443440947101984,0.0,-1.055497292339882,0.6543916681330122,0.8291104327616006,0.8915858817559297,0.3214836967844972,0.3806099522830505,0.9418789879840497,0.5068831286706768,0.09612831708667602
0.0,-1.0437597820453108,0.0,-2.443440941239662,0.0,-1.055497303257721,0.0,-0.9413800577553442,0.0,-2.0484175123786006,0.0,-0.351502427095463,0.0,-1.0285830732955068,0.0,-2.443269902891024,0.0,-1.0623621188497747,0.0,-1.0437597820453108,0.0,-2.443440941239662,0.0,-1.055497303257721,0.6635011221422501,0.31000388611987795,0.8821434655661573,0.17086317642800808,0.06430821275227216,0.7917029896217183,0.7535132677187285,0.9336142023253596
0.0,-1.0437597820198867,0.0,-2.4434409397001917,0.0,-1.0554973061247903,0.0,-0.9277416649205428,0.0,-1.987614037359748,0.0,-0.37496937430274535,0.0,-1.0285824578783016,0.0,-2.4432663601080176,0.0,-1.062364954850187,0.0,-1.0437597820198867,0.0,-2.4434409397001917,0.0,-1.0554973061247903,0.04045885690363371,0.2603610658037606,0.13635521014307783,0.670481532516251,0.42525605065067607,0.43940867529336114,0.5452177526769469,0.031648061911184855
0.0,-1.0437597820132103,0.0,-2.4434409392959204,0.0,-1.0554973068776947,0.0,-0.9141103874595053,0.0,-1.927487261911546,0.0,-0.40257241371499397,0.0,-1.0285821589813269,0.0,-2.4432646394352693,0.0,-1.0623663322730312,0.0,-1.0437597820132103,0.0,-2.4434409392959204,0.0,-1.0554973068776947,0.4875458661945672,0.16875168682728037,0.8481852147338621,0.5719758166573746,0.756636991880875,0.6590259157144179,0.9238240241793017,0.11587552367852139
0.0,-1.043759782011457,0.0,-2.443440939189758,0.0,-1.0554973070754103,0.0,-0.9004781741004431,0.0,-1.8677922148040267,0.0,-0.4339362566137339,0.0,-1.0285820138113264,0.0,-2.4432638037273193,0.0,-1.0623670012744872,0.0,-1.043759782011457,0.0,-2.443440939189758,0.0,-1.0554973070754103,0.7197895572135425,0.9533616106004802,0.8421862597136023,0.8699766080784941,0.19935989231735152,0.6477923243125828,0.15471007379752733,0.6333455914272156
0.0,-1.043759782010996,0.0,-2.4434409391618788,0.0,-1.0554973071273315,0.0,-0.8868622713923582,0.0,-1.808335541948538,0.0,-0.46869356623217584,0.0,-1.0285819433040526,0.0,-2.443263397833897,0.0,-1.0623673262018274,0.0,-1.043759782010996,0.0,-2.4434409391618788,0.0,-1.0554973071273315,0.9031465238233968,0.7188498986227904,0.9849543597259376,0.040176576229498884,0.7201414012964523,0.7108239148859191,0.35951182779513513,0.8007995813140284
0.0,-1.0437597820108753,0.0,-2.4434409391545575,0.0,-1.0554973071409686,0.0,-0.8864022577955817,0.0,-1.8062338768604782,0.0,-0.5293571959427581,0.0,-1.0285819090594774,0.0,-2.4432632006960135,0.0,-1.0623674840156951,0.0,-1.0439518896911526,0.0,-2.446629070931235,0.0,-0.8687910202556139,0.867129201980268,0.03755389860673153,0.8136247187682474,0.30490402954513596,0.47120613054736404,0.0016272948482709548,0.7308299855644281,0.9056272138436587
0.0,-1.0437597820108433,0.0,-2.443440939152635,0.0,-1.055497307144548,0.0,-0.8911420707792423,0.0,-1.8286975697562582,0.0,-0.5727213116510814,0.0,-1.0285818924272636,0.0,-2.4432631049482905,0.0,-1.062367560664243,0.0,-1.0431020450245505,0.0,-2.4371698669470505,0.0,-0.6861204317460237,0.1692001609978393,0.14142751279116783,0.7675173182866896,0.8936506641465456,0.41897941023000485,0.09994343545437712,0.3896540359267342,0.9293091560562374
0.0,-1.0437597820108353,0.0,-2.4434409391521297,0.0,-1.0554973071454885,0.0,-0.8889422918799852,0.0,-1.91835813493124,0.0,-0.5677487872965408,0.0,-1.028581884349177,0.0,-2.443263058444649,0.0,-1.0623675978916376,0.0,-1.0404353617881243,0.0,-2.412158929230597,0.0,-0.5119252152618969,0.7613485889684704,0.7086427768844503,0.43177867611930243,0.30769943293575397,0.2867997532197777,0.2714441576086324,0.03109886807114337,0.49172753635328403
0.0,-1.0437597820108326,0.0,-2.4434409391519973,0.0,-1.0554973071457354,0.0,-0.8929491863262182,0.0,-1.937964463729366,0.0,-0.6169229487274146,0.0,-1.0285818804257367,0.0,-2.443263035858326,0.0,-1.0623676159725894,0.0,-1.0359500663055528,0.0,-2.3728788502993363,0.0,-0.3395190663777896,0.3725657266911354,0.11854353147769958,0.7382803810532819,0.5681957006294633,0.2607465716731985,0.45967970798471003,0.804732381923489,0.7579257455121475
